Old code,Code,Industry,ISIC Rev.4
D01T02,A01,"Agriculture, hunting, forestry",01
D01T02,A02,"Agriculture, hunting, forestry",02
D03,A03,Fishing and aquaculture,03
D05T06,B05,"Mining and quarrying, energy producing products",05
D05T06,B06,"Mining and quarrying, energy producing products",06
D07T08,B07,"Mining and quarrying, non-energy producing products",07
D07T08,B08,"Mining and quarrying, non-energy producing products",08
D09,B09,Mining support service activities,09
D10T12,C10T12,"Food products, beverages and tobacco",10
D13T15,C13T15,"Textiles, textile products, leather and footwear",13
D16,C16,Wood and products of wood and cork,16
D17T18,C17_18,Paper products and printing,17
D19,C19,Coke and refined petroleum products,19
D20,C20,Chemical and chemical products,20
D21,C21,"Pharmaceuticals, medicinal chemical and botanical products",21
D22,C22,Rubber and plastics products,22
D23,C23,Other non-metallic mineral products,23
D24,C24,Basic metals,24
D25,C25,Fabricated metal products,25
D26,C26,"Computer, electronic and optical equipment",26
D27,C27,Electrical equipment,27
D28,C28,"Machinery and equipment, nec ",28
D29,C29,"Motor vehicles, trailers and semi-trailers",29
D30,C30,Other transport equipment,30
D31T33,C31T33,Manufacturing nec; repair and installation of machinery and equipment,31
D35,D,"Electricity, gas, steam and air conditioning supply",35
D36T39,E,"Water supply; sewerage, waste management and remediation activities",36
D41T43,F,Construction,41
D45T47,G,Wholesale and retail trade; repair of motor vehicles,45
D49,H49,Land transport and transport via pipelines,49
D50,H50,Water transport,50
D51,H51,Air transport,51
D52,H52,Warehousing and support activities for transportation,52
D53,H53,Postal and courier activities,53
D55T56,I,Accommodation and food service activities,55
D58T60,J58T60,"Publishing, audiovisual and broadcasting activities",58
D61,J61,Telecommunications,61
D62T63,J62_63,IT and other information services,62
D64T66,K,Financial and insurance activities,64
D68,L,Real estate activities,68
D69T75,M,"Professional, scientific and technical activities",69 to 75
D77T82,N,Administrative and support services,77 to 82
D84,O,Public administration and defence; compulsory social security,84
D85,P,Education,85
D86T88,Q,Human health and social work activities,86
D90T93,R,"Arts, entertainment and recreation",90
D94T96,S,Other service activities,94
D97T98,T,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,97
