HS4,HS4 Desc,HS6,HS6 Desc,ISIC Rev. 4,ISIC Rev. 4 Desc
0101,"Live horses, asses, mules and hinnies.",010121,live purebred breeding horses,0142,Raising of horses and other equines
0101,"Live horses, asses, mules and hinnies.",010129,"horses, live, except purebred breeding animals",0142,Raising of horses and other equines
0101,"Live horses, asses, mules and hinnies.",010130,live asses,0142,Raising of horses and other equines
0101,"Live horses, asses, mules and hinnies.",010190,"live horses, asses, mules and hinnies, other than purebred",0142,Raising of horses and other equines
0102,Live bovine animals.,010221,live purebred breeding cattle,0141,Raising of cattle and buffaloes
0102,Live bovine animals.,010229,live cattle other than purebred breeding,0141,Raising of cattle and buffaloes
0102,Live bovine animals.,010231,live purebred breeding buffalo,0141,Raising of cattle and buffaloes
0102,Live bovine animals.,010239,live buffalo other than purebred breeding,0141,Raising of cattle and buffaloes
0102,Live bovine animals.,010290,"bovine animals, live, nesoi",0141,Raising of cattle and buffaloes
0103,Live swine.,010310,"swine, live, purebred breeding animals",0145,Raising of swine/pigs
0103,Live swine.,010391,"swine, live, nesoi, weighing less than 50 kg (110.23 lb.) each",0145,Raising of swine/pigs
0103,Live swine.,010392,"swine, live, nesoi, weighing 50 kg (110.23 lb.) or more each",0145,Raising of swine/pigs
0104,Live sheep and goats.,010410,"sheep, live",0144,Raising of sheep and goats
0104,Live sheep and goats.,010420,"goats, live",0144,Raising of sheep and goats
0105,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.",010511,"chickens, live, not weighing more than 185 g (6.53 oz.) each",0146,Raising of poultry
0105,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.",010512,"turkeys, live, weighing not over 185 g each",0146,Raising of poultry
0105,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.",010513,live ducks weighing < 185 grams,0146,Raising of poultry
0105,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.",010514,live geese weighing < 185 grams,0146,Raising of poultry
0105,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.",010515,"live guinea fowls, weighing not more than 185 g each",0146,Raising of poultry
0105,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.",010594,"fowls of the species gallus domesitcus, weighing more than 185g",0146,Raising of poultry
0105,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.",010599,"turkeys, ducks, geese and guinea fowls, live, weighing over 185 g (6.53 oz.) each",0146,Raising of poultry
0106,Other live animals.,010611,live primates,0149,Raising of other animals
0106,Other live animals.,010612,"live whales, dolphins and porpoises (mammals of the order cetacea); manatees and dugongs (mammals of the order sirenia)",0149,Raising of other animals
0106,Other live animals.,010613,other live animals: camels and other camelids (camelidae),014,Animal production
0106,Other live animals.,010614,live rabbits and hares,014,Animal production
