E_COMMODITY,E_COMMODITY_SDESC,CTY_CODE,Aug,Sep,Oct
02,MEAT AND EDIBLE MEAT OFFAL,0014,191250682.0,180583220.0,210867595.0
02,MEAT AND EDIBLE MEAT OFFAL,0022,117345623.0,88591382.0,122639501.0
02,MEAT AND EDIBLE MEAT OFFAL,0026,192857239.0,181370698.0,211451555.0
02,MEAT AND EDIBLE MEAT OFFAL,5520,756058.0,359471.0,583960.0
02,MEAT AND EDIBLE MEAT OFFAL,5650,3646939.0,1435307.0,1570443.0
02,MEAT AND EDIBLE MEAT OFFAL,5800,65118514.0,41879389.0,58951738.0
02,MEAT AND EDIBLE MEAT OFFAL,5820,9697961.0,5284218.0,6301037.0
02,MEAT AND EDIBLE MEAT OFFAL,5880,51435047.0,45715853.0,60989159.0
02,MEAT AND EDIBLE MEAT OFFAL,5XXX,192351541.0,181365560.0,209406560.0
0201,"MEAT OF BOVINE ANIMALS, FRESH OR CHILLED",0022,32487507.0,6927690.0,38389092.0
0201,"MEAT OF BOVINE ANIMALS, FRESH OR CHILLED",5800,32340998.0,6784451.0,28051039.0
0201,"MEAT OF BOVINE ANIMALS, FRESH OR CHILLED",5880,146509.0,143239.0,10338053.0
020120,"MEAT, BOVINE CUTS WITH BONE IN, FRESH OR CHILLED",0014,4395533.0,772433.0,2754114.0
020120,"MEAT, BOVINE CUTS WITH BONE IN, FRESH OR CHILLED",0022,4395533.0,434527.0,2025948.0
020120,"MEAT, BOVINE CUTS WITH BONE IN, FRESH OR CHILLED",0026,4395533.0,772433.0,2754114.0
020120,"MEAT, BOVINE CUTS WITH BONE IN, FRESH OR CHILLED",5800,4395533.0,434527.0,2009964.0
020120,"MEAT, BOVINE CUTS WITH BONE IN, FRESH OR CHILLED",5XXX,4395533.0,782333.0,2754114.0
020130,"MEAT OF BOVINE ANIMALS, BONELESS, FRESH OR CHILLED",0022,28091974.0,6493163.0,36363144.0
020130,"MEAT OF BOVINE ANIMALS, BONELESS, FRESH OR CHILLED",5800,27945465.0,6349924.0,26041075.0
020130,"MEAT OF BOVINE ANIMALS, BONELESS, FRESH OR CHILLED",5880,146509.0,143239.0,10322069.0
0202,"MEAT OF BOVINE ANIMALS, FROZEN",5520,670792.0,166798.0,443298.0
0202,"MEAT OF BOVINE ANIMALS, FROZEN",5650,1621457.0,933913.0,964946.0
0202,"MEAT OF BOVINE ANIMALS, FROZEN",5820,8433980.0,3523735.0,4002846.0
020220,"MEAT, BOVINE CUTS WITH BONE IN, FROZEN",0027,310239.0,231734.0,283282.0
