I_COMMODITY,I_COMMODITY_SDESC,CTY_CODE,Aug,Sep,Oct
02,MEAT AND EDIBLE MEAT OFFAL,0025,1013054.0,431283.0,1968943.0
02,MEAT AND EDIBLE MEAT OFFAL,0027,301394.0,206910.0,539094.0
02,MEAT AND EDIBLE MEAT OFFAL,4190,316791.0,150130.0,743016.0
02,MEAT AND EDIBLE MEAT OFFAL,4210,696263.0,154224.0,973673.0
02,MEAT AND EDIBLE MEAT OFFAL,5520,254921.0,118755.0,465713.0
02,MEAT AND EDIBLE MEAT OFFAL,5700,502502.0,85548.0,324132.0
02,MEAT AND EDIBLE MEAT OFFAL,5XXX,6048013.0,3910079.0,4075642.0
0201,"MEAT OF BOVINE ANIMALS, FRESH OR CHILLED",6141,665207.0,332896.0,570660.0
020130,"MEAT OF BOVINE ANIMALS, BONELESS, FRESH OR CHILLED",6141,659939.0,321698.0,547093.0
0202,"MEAT OF BOVINE ANIMALS, FROZEN",5880,1195048.0,111840.0,1259001.0
0202,"MEAT OF BOVINE ANIMALS, FROZEN",5XXX,1195048.0,111840.0,1259001.0
020230,"MEAT OF BOVINE ANIMALS, BONELESS, FROZEN",5880,926515.0,111840.0,1259001.0
020230,"MEAT OF BOVINE ANIMALS, BONELESS, FROZEN",5XXX,926515.0,111840.0,1259001.0
0203,"MEAT OF SWINE (PORK), FRESH, CHILLED OR FROZEN",0025,788769.0,126929.0,1503849.0
020329,"MEAT OF SWINE, NESOI, FROZEN",0025,788769.0,126929.0,1503849.0
0204,"MEAT OF SHEEP OR GOATS, FRESH, CHILLED OR FROZEN",0021,192224.0,35150.0,61908.0
0204,"MEAT OF SHEEP OR GOATS, FRESH, CHILLED OR FROZEN",0024,192224.0,35150.0,61908.0
0204,"MEAT OF SHEEP OR GOATS, FRESH, CHILLED OR FROZEN",3370,192224.0,35150.0,61908.0
0204,"MEAT OF SHEEP OR GOATS, FRESH, CHILLED OR FROZEN",3XXX,192224.0,35150.0,61908.0
0204,"MEAT OF SHEEP OR GOATS, FRESH, CHILLED OR FROZEN",6021,4824771.0,4131126.0,4584450.0
020422,"MEAT OF SHEEP, CUTS, BONE IN NESOI, FRESH, CHILLED",6141,10169.0,5106.0,14982.0
020423,"MEAT OF SHEEP, BONELESS, FRESH OR CHILLED",6141,14154.0,5099.0,19217.0
020442,"MEAT OF SHEEP, CUTS WITH BONE IN, NESOI, FROZEN",6021,1705317.0,1545727.0,1636684.0
020443,"MEAT OF SHEEP, BONELESS, FROZEN",0014,1585429.0,1187267.0,1871483.0
020443,"MEAT OF SHEEP, BONELESS, FROZEN",0022,1585429.0,1222417.0,1871483.0
020443,"MEAT OF SHEEP, BONELESS, FROZEN",0026,1585429.0,1222417.0,1871483.0
020443,"MEAT OF SHEEP, BONELESS, FROZEN",6021,1285658.0,925659.0,1605860.0
020443,"MEAT OF SHEEP, BONELESS, FROZEN",6141,299771.0,261608.0,265623.0
020443,"MEAT OF SHEEP, BONELESS, FROZEN",6XXX,1585429.0,1187267.0,1871483.0
0206,"ED OFFAL, BOVINE, SWINE, SHEEP, GOAT, HORSE, ETC.",0022,568363.0,428551.0,589180.0
0206,"ED OFFAL, BOVINE, SWINE, SHEEP, GOAT, HORSE, ETC.",6141,284572.0,12575.0,194359.0
020610,"OFFAL OF BOVINE ANIMALS, EDIBLE, FRESH OR CHILLED",0014,59506.0,42569.0,56905.0
020610,"OFFAL OF BOVINE ANIMALS, EDIBLE, FRESH OR CHILLED",0022,59506.0,42569.0,56905.0
020610,"OFFAL OF BOVINE ANIMALS, EDIBLE, FRESH OR CHILLED",0026,59506.0,42569.0,56905.0
020610,"OFFAL OF BOVINE ANIMALS, EDIBLE, FRESH OR CHILLED",6021,59506.0,42569.0,56905.0
020610,"OFFAL OF BOVINE ANIMALS, EDIBLE, FRESH OR CHILLED",6XXX,59506.0,42569.0,56905.0
020690,"OFFAL OF SHEEP, GOATS, HORSES ETC, EDIBLE, FROZEN",0014,107198.0,12575.0,175300.0
020690,"OFFAL OF SHEEP, GOATS, HORSES ETC, EDIBLE, FROZEN",0022,107198.0,57166.0,175300.0
020690,"OFFAL OF SHEEP, GOATS, HORSES ETC, EDIBLE, FROZEN",0026,107198.0,57166.0,175300.0
020690,"OFFAL OF SHEEP, GOATS, HORSES ETC, EDIBLE, FROZEN",6141,107198.0,12575.0,136017.0
020690,"OFFAL OF SHEEP, GOATS, HORSES ETC, EDIBLE, FROZEN",6XXX,107198.0,12575.0,175300.0
0208,"MEAT & EDIBLE OFFAL NESOI, FRESH, CHILLD OR FROZEN",0026,1385593.0,1364398.0,1761096.0
0208,"MEAT & EDIBLE OFFAL NESOI, FRESH, CHILLD OR FROZEN",0027,301394.0,206910.0,539094.0
0208,"MEAT & EDIBLE OFFAL NESOI, FRESH, CHILLD OR FROZEN",5520,254921.0,118755.0,465713.0
0208,"MEAT & EDIBLE OFFAL NESOI, FRESH, CHILLD OR FROZEN",5700,198774.0,85548.0,324132.0
0208,"MEAT & EDIBLE OFFAL NESOI, FRESH, CHILLD OR FROZEN",5XXX,500168.0,292458.0,863226.0
020890,"MEAT & EDIBLE MEAT OFFAL NESOI, FRESH, CHLD, FROZN",0027,301394.0,206910.0,539094.0
020890,"MEAT & EDIBLE MEAT OFFAL NESOI, FRESH, CHLD, FROZN",5520,254921.0,118755.0,465713.0
020890,"MEAT & EDIBLE MEAT OFFAL NESOI, FRESH, CHLD, FROZN",5XXX,362209.0,292458.0,863226.0
03,"FISH, CRUSTACEANS & AQUATIC INVERTEBRATES",0003,8028896.0,2389318.0,2966116.0
03,"FISH, CRUSTACEANS & AQUATIC INVERTEBRATES",0017,604960.0,155980.0,800980.0
03,"FISH, CRUSTACEANS & AQUATIC INVERTEBRATES",0021,22779462.0,21098920.0,21744547.0
03,"FISH, CRUSTACEANS & AQUATIC INVERTEBRATES",0023,9925941.0,3903709.0,5378946.0
03,"FISH, CRUSTACEANS & AQUATIC INVERTEBRATES",0025,7260594.0,1557015.0,2127573.0
03,"FISH, CRUSTACEANS & AQUATIC INVERTEBRATES",0026,141107592.0,118423670.0,170829687.0
03,"FISH, CRUSTACEANS & AQUATIC INVERTEBRATES",0027,90472465.0,59258110.0,103128403.0
03,"FISH, CRUSTACEANS & AQUATIC INVERTEBRATES",0028,604960.0,155980.0,800980.0
03,"FISH, CRUSTACEANS & AQUATIC INVERTEBRATES",1XXX,389200.0,55814.0,152422.0
03,"FISH, CRUSTACEANS & AQUATIC INVERTEBRATES",2190,450077.0,111475.0,800980.0
03,"FISH, CRUSTACEANS & AQUATIC INVERTEBRATES",2XXX,628006.0,182015.0,855060.0
03,"FISH, CRUSTACEANS & AQUATIC INVERTEBRATES",3330,1380254.0,1194036.0,1661231.0
03,"FISH, CRUSTACEANS & AQUATIC INVERTEBRATES",3510,617583.0,268901.0,602553.0
03,"FISH, CRUSTACEANS & AQUATIC INVERTEBRATES",3XXX,23799868.0,20861091.0,20889487.0
03,"FISH, CRUSTACEANS & AQUATIC INVERTEBRATES",4039,1154388.0,1035803.0,1663723.0
03,"FISH, CRUSTACEANS & AQUATIC INVERTEBRATES",4210,4827700.0,742750.0,758428.0
03,"FISH, CRUSTACEANS & AQUATIC INVERTEBRATES",4621,1925889.0,1258579.0,2277792.0
03,"FISH, CRUSTACEANS & AQUATIC INVERTEBRATES",4700,2432894.0,432043.0,1287341.0
03,"FISH, CRUSTACEANS & AQUATIC INVERTEBRATES",4XXX,11851830.0,5375390.0,7577972.0
03,"FISH, CRUSTACEANS & AQUATIC INVERTEBRATES",5330,52641759.0,43285397.0,50623119.0
03,"FISH, CRUSTACEANS & AQUATIC INVERTEBRATES",5380,1012865.0,482598.0,653942.0
03,"FISH, CRUSTACEANS & AQUATIC INVERTEBRATES",5490,13699143.0,4815350.0,14903414.0
03,"FISH, CRUSTACEANS & AQUATIC INVERTEBRATES",5520,38027668.0,19775931.0,28691204.0
03,"FISH, CRUSTACEANS & AQUATIC INVERTEBRATES",5570,316151.0,181812.0,444018.0
03,"FISH, CRUSTACEANS & AQUATIC INVERTEBRATES",5600,30764274.0,29556716.0,51925862.0
03,"FISH, CRUSTACEANS & AQUATIC INVERTEBRATES",5650,3735479.0,3017800.0,5436954.0
03,"FISH, CRUSTACEANS & AQUATIC INVERTEBRATES",5820,1127364.0,714815.0,1243453.0
03,"FISH, CRUSTACEANS & AQUATIC INVERTEBRATES",5830,6562025.0,4861038.0,9785187.0
03,"FISH, CRUSTACEANS & AQUATIC INVERTEBRATES",5XXX,189244017.0,150126203.0,211865640.0
03,"FISH, CRUSTACEANS & AQUATIC INVERTEBRATES",7XXX,291828.0,70564.0,193935.0
0303,"FISH, FROZEN (NO FISH FILLETS OR OTHER FISH MEAT)",0021,1215140.0,577359.0,4081672.0
0303,"FISH, FROZEN (NO FISH FILLETS OR OTHER FISH MEAT)",0023,1361017.0,291960.0,1183491.0
0303,"FISH, FROZEN (NO FISH FILLETS OR OTHER FISH MEAT)",0024,976068.0,439849.0,4027592.0
0303,"FISH, FROZEN (NO FISH FILLETS OR OTHER FISH MEAT)",0026,15326914.0,14984840.0,15467122.0
0303,"FISH, FROZEN (NO FISH FILLETS OR OTHER FISH MEAT)",0027,5454765.0,3798620.0,5568701.0
0303,"FISH, FROZEN (NO FISH FILLETS OR OTHER FISH MEAT)",3510,503870.0,268901.0,546226.0
0303,"FISH, FROZEN (NO FISH FILLETS OR OTHER FISH MEAT)",3XXX,2624480.0,384035.0,4027592.0
0303,"FISH, FROZEN (NO FISH FILLETS OR OTHER FISH MEAT)",4039,878135.0,118170.0,612795.0
0303,"FISH, FROZEN (NO FISH FILLETS OR OTHER FISH MEAT)",4XXX,1361017.0,291960.0,1183491.0
0303,"FISH, FROZEN (NO FISH FILLETS OR OTHER FISH MEAT)",5490,372012.0,87340.0,260594.0
0303,"FISH, FROZEN (NO FISH FILLETS OR OTHER FISH MEAT)",5520,3606702.0,1698018.0,3126179.0
0303,"FISH, FROZEN (NO FISH FILLETS OR OTHER FISH MEAT)",5700,4442818.0,4426937.0,5336447.0
0303,"FISH, FROZEN (NO FISH FILLETS OR OTHER FISH MEAT)",5830,3031054.0,2252408.0,3265768.0
0303,"FISH, FROZEN (NO FISH FILLETS OR OTHER FISH MEAT)",5XXX,15719525.0,14316699.0,15936678.0
030323,"TILAPIAS, FROZEN",0027,247940.0,110382.0,236786.0
030323,"TILAPIAS, FROZEN",5490,183063.0,87340.0,186534.0
030323,"TILAPIAS, FROZEN",5520,61685.0,23042.0,47312.0
030342,"YELLOWFIN TUNA EXCEPT FILLETS, LIVER & ROES FROZEN",0026,2843546.0,2318424.0,3313402.0
030342,"YELLOWFIN TUNA EXCEPT FILLETS, LIVER & ROES FROZEN",0027,2834670.0,2318424.0,3313402.0
030342,"YELLOWFIN TUNA EXCEPT FILLETS, LIVER & ROES FROZEN",5520,1911906.0,825481.0,2240678.0
030342,"YELLOWFIN TUNA EXCEPT FILLETS, LIVER & ROES FROZEN",5XXX,2846124.0,2534376.0,3782958.0
030345,"ATLANTIC AND PACIFIC BLUEFIN TUNAS, FROZEN",0014,282217.0,226083.0,226911.0
030345,"ATLANTIC AND PACIFIC BLUEFIN TUNAS, FROZEN",0022,282217.0,226083.0,226911.0
030345,"ATLANTIC AND PACIFIC BLUEFIN TUNAS, FROZEN",0026,282217.0,226083.0,226911.0
030345,"ATLANTIC AND PACIFIC BLUEFIN TUNAS, FROZEN",5880,282217.0,226083.0,226911.0
030345,"ATLANTIC AND PACIFIC BLUEFIN TUNAS, FROZEN",5XXX,282217.0,226083.0,226911.0
030354,"MACKEREL, FROZEN",0022,901751.0,151416.0,741042.0
030354,"MACKEREL, FROZEN",0023,893633.0,118170.0,674072.0
030354,"MACKEREL, FROZEN",4039,839135.0,118170.0,612795.0
030354,"MACKEREL, FROZEN",4XXX,893633.0,118170.0,674072.0
030359,"ANCHOVIES, EXLCUDING LIVERS AND ROES",0014,89803.0,74866.0,118872.0
030359,"ANCHOVIES, EXLCUDING LIVERS AND ROES",0026,175235.0,90676.0,141620.0
030359,"ANCHOVIES, EXLCUDING LIVERS AND ROES",0027,85432.0,15810.0,22748.0
030359,"ANCHOVIES, EXLCUDING LIVERS AND ROES",5520,85432.0,15810.0,22748.0
