shock_event,n_rows,n_months,month_min,month_max,mu0_init,eps_used,overall_mean,peak_abs_mu,avg_abs_mu,persistence_months,last_persist_month,tail_persistence_rate,half_life_month,trend_slope,trend_r2,shape_label
2021_suez_canal,16,10,0,9,1.3372230089061883,0.2674446017812377,0.2753003222718941,3.3208481304792605,1.1841491185529411,2,2.0,1.0,0.0,-0.2243373667090196,0.269183556787571,reversal
2020_china_covid,19,5,0,4,-0.9882995003716776,0.19765990007433554,-1.019922889306084,1.1519471094640426,1.019922889306084,5,4.0,1.0,,-0.003000111647255138,0.002836174595960528,persistent
2019_saudi_aramco_attack,17,6,0,5,-1.0488504700279417,0.20977009400558835,-0.9545762646549377,1.0915758696327003,0.9545762646549377,6,5.0,1.0,,0.026058107505582087,0.15014122090536242,mixed
2012_us_droughts,10,3,0,2,-0.9536133733319981,0.19072267466639964,-0.9339312415518775,0.9660948640316029,0.9339312415518775,3,2.0,,,0.10465140425040616,0.8485819673752518,decaying
2015_samarco_dam_collapse,23,12,0,11,-1.1427035735732225,0.22854071471464452,-0.9272136686069846,1.1479650033729685,0.9272136686069846,12,11.0,1.0,,0.041802573070770704,0.6716801406115145,decaying
2011_thailand_floods,41,6,0,5,-0.9759929765944487,0.19519859531888975,-0.9121638711380772,1.0249838206208164,0.9121638711380772,6,5.0,1.0,,0.05468130154085515,0.89926203575409,decaying
2019_amazon_forest_fires,27,7,0,6,-1.0303321275421187,0.20606642550842375,-0.905157627414375,1.077743268096306,0.905157627414375,7,6.0,1.0,,0.07410753689997537,0.9685361613548291,decaying
2015_tianjin_explosion,64,12,0,11,-1.1103478133664917,0.22206956267329836,-0.8860408826316187,1.17076767822669,0.8860408826316187,12,11.0,1.0,9.0,0.05802386613267981,0.9600770143038786,decaying
2016_fort_mcmurray_wildfire,35,6,0,5,-1.1563180886902829,0.2312636177380566,-0.8498148460315543,1.2661701444265911,0.8498148460315543,6,5.0,1.0,3.0,0.1266327595222338,0.3548109492452627,decaying
2018_us_china_tariffs,9,2,1,2,-0.8437503593734695,0.16875007187469393,-0.8108685256748934,0.8437503593734695,0.8108685256748934,2,2.0,,,0.09864550109572838,1.0,decaying
2019_brumadinho_dam_collapse,17,12,0,11,-1.1981318353565553,0.23962636707131107,-0.7993588379150351,1.2086101254820858,0.8058209142011347,3,2.0,0.6666666666666666,3.0,0.051462552152548864,0.1744627320080907,mixed
2014_russia_crimea_sanctions,14,6,0,5,-0.7960772649852176,0.15921545299704354,-0.7930849937517229,0.9211310087364226,0.7930849937517229,6,5.0,1.0,,0.006555089532880742,0.01297766243270737,mixed
2017_hurricane_maria,21,9,0,8,-0.8486553463437158,0.16973106926874315,-0.7691932717249068,0.8740234877642675,0.7691932717249068,9,8.0,1.0,,0.03488984881082285,0.8872456181731615,decaying
2017_british_columbia_wildfires,12,5,0,4,-0.8134264668406015,0.16268529336812032,-0.7685736882279307,0.8199111093486826,0.7685736882279307,5,4.0,1.0,,0.04460898330574666,0.45823200835063105,decaying
2021_texas_winter_storm_uri,6,4,0,3,-0.9055978417130958,0.18111956834261916,-0.7634287216336414,0.9584890332079109,0.7634287216336414,4,3.0,1.0,3.0,0.18842763063386916,0.9981446710786104,decaying
2018_sweden_wildfires,18,11,0,10,-0.882972486673568,0.1765944973347136,-0.7604646622822796,0.8905246599451618,0.7604646622822796,11,10.0,1.0,,0.03310257288365872,0.5702507339014461,decaying
2014_indonesia_mineral_export_ban,8,6,0,8,-0.7756623058443496,0.15513246116886992,-0.6310707308454849,1.0253663898403744,0.6544484489601223,3,2.0,0.6666666666666666,3.0,0.03601661207155607,0.07221430002071083,mixed
2010_russia_wheat_ban,15,10,1,10,-0.857005138132323,0.1714010276264646,-0.5303161503479482,0.857005138132323,0.5318327991879508,8,8.0,0.75,4.0,0.08740824373720738,0.9275442560326053,decaying
2011_queensland_floods,5,5,0,4,-0.0049478106307816,0.05,0.3262368156470618,1.395520388736112,0.3301950641516871,0,,1.0,,0.1607405319458298,0.17860348903422563,reversal
2011_japan_earthquake,23,5,0,4,0.1899084542512333,0.05,0.16034096963840574,0.20486267106560876,0.16034096963840574,5,4.0,1.0,0.0,0.006094582517971618,0.04402239824808074,persistent
