shock_event,months_after_shock,mean,median,n,std,sem
2010_russia_wheat_ban,1,-0.857005138132323,-0.8868859201280322,3,0.06609937768467815,0.03816249349951567
2010_russia_wheat_ban,2,-0.7408795151624815,-0.7673467600478564,3,0.07895373708183717,0.04558396135772563
2010_russia_wheat_ban,3,-0.6684559562696744,-0.6684559562696744,2,0.08708233611883319,0.06157651039119316
2010_russia_wheat_ban,4,-0.3844561277846497,-0.3844561277846497,1,,
2010_russia_wheat_ban,5,-0.3826626098503168,-0.3826626098503168,1,,
2010_russia_wheat_ban,6,-0.3627154437827655,-0.3627154437827655,1,,
2010_russia_wheat_ban,7,-0.3092046691083872,-0.3092046691083872,1,,
2010_russia_wheat_ban,8,-0.3041945185757937,-0.3041945185757937,1,,
2010_russia_wheat_ban,9,-0.0923178799935672,-0.0923178799935672,1,,
2010_russia_wheat_ban,10,0.0113748663000189,0.0113748663000189,1,,
2011_japan_earthquake,0,0.0852289365506049,0.0852289365506049,1,,
2011_japan_earthquake,1,0.20486267106560876,0.1824999184820823,7,0.11683828911929436,0.04416072237427382
2011_japan_earthquake,2,0.15825052304376241,0.166940610319845,6,0.08927753680964343,0.03644740177936154
2011_japan_earthquake,3,0.11551293023927407,0.1463212428664519,5,0.1109987783578936,0.04964016276553651
2011_japan_earthquake,4,0.16037671955363036,0.15080189471315644,4,0.09295460673924563,0.046477303369622816
2011_queensland_floods,0,-0.0036399096841655,-0.0036399096841655,1,,
2011_queensland_floods,1,-0.0062557115773977,-0.0062557115773977,1,,
2011_queensland_floods,2,0.1463846108725316,0.1463846108725316,1,,
2011_queensland_floods,3,1.395520388736112,1.395520388736112,1,,
2011_queensland_floods,4,0.0991746998882285,0.0991746998882285,1,,
2011_thailand_floods,0,-1.0249838206208164,-1.0012107877402006,8,0.1957723883016147,0.06921599166857884
2011_thailand_floods,1,-0.9368003013733546,-0.9295719118785797,10,0.13867897348587238,0.04385414197894572
2011_thailand_floods,2,-0.8757052639190304,-0.8871900708817888,10,0.15239493039507324,0.04819150839112552
2011_thailand_floods,3,-0.8972363353815704,-0.8436717848284769,9,0.1512434601399691,0.05041448671332303
2011_thailand_floods,4,-0.7483601595049841,-0.7483601595049841,2,0.005988518918282911,0.004234522336381774
2011_thailand_floods,5,-0.7509725806633445,-0.7509725806633445,2,0.08304464499130879,0.058721431614583895
2012_us_droughts,0,-0.9660948640316029,-0.9532481795982484,5,0.05195549360701676,0.023235203101969044
2012_us_droughts,1,-0.9380115099574923,-0.9370960965334325,4,0.08337008305031539,0.041685041525157694
2012_us_droughts,2,-0.7567920555307908,-0.7567920555307908,1,,
2014_indonesia_mineral_export_ban,0,-1.0253663898403744,-1.0253663898403744,2,0.0736970454795459,0.052111680612000305
2014_indonesia_mineral_export_ban,1,-0.5259582218483247,-0.5259582218483247,2,0.7069504051148751,0.49988942541930503
2014_indonesia_mineral_export_ban,2,-0.7378354983270695,-0.7378354983270695,1,,
2014_indonesia_mineral_export_ban,3,0.0935108724585497,0.0935108724585497,1,,
2014_indonesia_mineral_export_ban,4,-0.7706933397268002,-0.7706933397268002,1,,
2014_indonesia_mineral_export_ban,8,-0.5308986577911607,-0.5308986577911607,1,,
2014_russia_crimea_sanctions,0,-0.629338939983611,-0.924952435857429,3,0.6419546198873903,0.3706326725995087
2014_russia_crimea_sanctions,1,-0.9211310087364226,-0.8860277760509663,4,0.11228603797157409,0.056143018985787045
2014_russia_crimea_sanctions,2,-0.8489401952163426,-0.8489401952163426,2,0.06860314865948136,0.048509751627868074
2014_russia_crimea_sanctions,3,-0.8248607629761949,-0.8248607629761949,2,0.07740490783613721,0.05473353522805235
2014_russia_crimea_sanctions,4,-0.7443566687851385,-0.7443566687851385,2,0.11813063935451192,0.0835309761534778
2014_russia_crimea_sanctions,5,-0.6943338036722455,-0.6943338036722455,1,,
2015_samarco_dam_collapse,0,-1.1479650033729685,-1.15436558718201,6,0.0912707539484923,0.03726112926881986
2015_samarco_dam_collapse,1,-1.1363898578135274,-1.1646879028623636,5,0.04456815267340861,0.01993148380186613
2015_samarco_dam_collapse,2,-0.8704299213637359,-0.8704299213637359,2,0.025326264436944954,0.017908373325487476
2015_samarco_dam_collapse,3,-0.7442291813122844,-0.7442291813122844,2,0.003155328385240335,0.00223115409807384
2015_samarco_dam_collapse,4,-0.7886634417013116,-0.7886634417013116,1,,
2015_samarco_dam_collapse,5,-0.7557345850168249,-0.7557345850168249,1,,
2015_samarco_dam_collapse,6,-0.6727726621443825,-0.6727726621443825,1,,
2015_samarco_dam_collapse,7,-0.6973395858226769,-0.6973395858226769,1,,
2015_samarco_dam_collapse,8,-0.6768226870765267,-0.6768226870765267,1,,
2015_samarco_dam_collapse,9,-0.6136983526317512,-0.6136983526317512,1,,
2015_samarco_dam_collapse,10,-0.5747031180057713,-0.5747031180057713,1,,
2015_samarco_dam_collapse,11,-0.747122430903914,-0.747122430903914,1,,
2015_tianjin_explosion,0,-1.17076767822669,-1.1652903947133286,7,0.09507034503578111,0.03593321286025441
2015_tianjin_explosion,1,-1.063354585141893,-1.091059001102037,9,0.09004226090088772,0.030014086966962575
2015_tianjin_explosion,2,-1.017263545544058,-1.0168194718062216,8,0.09709436631742333,0.03432804241903037
2015_tianjin_explosion,3,-0.9396997281557918,-0.9145153196408372,7,0.08928235818438074,0.03374555946018053
2015_tianjin_explosion,4,-0.8782820125518295,-0.872755080020404,7,0.07783886615856286,0.02942032602725698
2015_tianjin_explosion,5,-0.8533650911515653,-0.847010478204117,7,0.08388136082744366,0.03170417434044158
2015_tianjin_explosion,6,-0.7420949867016424,-0.6974226553766119,4,0.10346154349501191,0.051730771747505955
2015_tianjin_explosion,7,-0.7417240568413929,-0.7083514650592306,3,0.12418725454100842,0.07169954483917179
2015_tianjin_explosion,8,-0.6634529570952179,-0.6257999499529275,3,0.06830277389026004,0.03943462489193978
2015_tianjin_explosion,9,-0.5231589652673391,-0.59174437808552,3,0.14824338124391723,0.08558835606675594
2015_tianjin_explosion,10,-0.5345402875973498,-0.5172702635776457,3,0.0854064784564196,0.049309453327351836
2015_tianjin_explosion,11,-0.5821688466608334,-0.5019591852749603,3,0.13969109393538492,0.08065069068698778
2016_fort_mcmurray_wildfire,0,-1.2661701444265911,-1.2502425136525435,10,0.16573819520805,0.052411019214304244
2016_fort_mcmurray_wildfire,1,-0.973231329129769,-1.0339606311447536,6,0.14423637393853223,0.05888425308311227
2016_fort_mcmurray_wildfire,2,-1.0731105959196732,-1.015119612095532,6,0.25632920990572183,0.10464596173996366
2016_fort_mcmurray_wildfire,3,-0.33459492144638614,-0.8165013760404981,6,0.8426792051469487,0.3440223449106888
2016_fort_mcmurray_wildfire,4,-0.31200265328148974,-0.8019781054027793,6,1.221336769006679,0.4986086480276347
2016_fort_mcmurray_wildfire,5,-0.9241811681745792,-0.9241811681745792,1,,
2017_british_columbia_wildfires,0,-0.8199111093486826,-0.7890106796902882,5,0.08433997549865314,0.03771798368713103
2017_british_columbia_wildfires,1,-0.8053206637055003,-0.8323054867936527,4,0.07986092489141929,0.03993046244570964
2017_british_columbia_wildfires,2,-0.593012302871998,-0.593012302871998,1,,
2017_british_columbia_wildfires,3,-0.6190144592501146,-0.6190144592501146,1,,
2017_british_columbia_wildfires,4,-0.6900192950476423,-0.6900192950476423,1,,
2017_hurricane_maria,0,-0.8740234877642675,-0.9221238189029223,6,0.11452131243789772,0.04675313002444968
2017_hurricane_maria,1,-0.8182135766390536,-0.850453452597023,5,0.06116258467119464,0.027352739400875566
2017_hurricane_maria,2,-0.7493676548765711,-0.7502660747764895,3,0.05610611458351484,0.03239288035797628
2017_hurricane_maria,3,-0.7161402947306847,-0.7161402947306847,2,0.02178638858637055,0.015405303106987815
2017_hurricane_maria,4,-0.6498574939870028,-0.6498574939870028,1,,
2017_hurricane_maria,5,-0.6603823344034565,-0.6603823344034565,1,,
2017_hurricane_maria,6,-0.6699508160359885,-0.6699508160359885,1,,
2017_hurricane_maria,7,-0.55716740136529,-0.55716740136529,1,,
2017_hurricane_maria,8,-0.6001082965593465,-0.6001082965593465,1,,
2018_sweden_wildfires,0,-0.8905246599451618,-0.8927207026629324,3,0.008080418301254723,0.004665231681394193
2018_sweden_wildfires,1,-0.8773083567198727,-0.8734116492142521,4,0.05682178616377365,0.028410893081886823
2018_sweden_wildfires,2,-0.7949905264352127,-0.7874408328983794,3,0.08436357382377749,0.0487073320569568
2018_sweden_wildfires,3,-0.6569287469933991,-0.6569287469933991,1,,
2018_sweden_wildfires,4,-0.7049304220359837,-0.7049304220359837,1,,
2018_sweden_wildfires,5,-0.7435351417973093,-0.7435351417973093,1,,
2018_sweden_wildfires,6,-0.573041886825807,-0.573041886825807,1,,
2018_sweden_wildfires,7,-0.8468332065091813,-0.8468332065091813,1,,
2018_sweden_wildfires,8,-0.4650625939637597,-0.4650625939637597,1,,
2018_sweden_wildfires,9,-0.5988275616790896,-0.5988275616790896,1,,
2018_sweden_wildfires,10,-0.5334253752558903,-0.5334253752558903,1,,
2018_us_china_tariffs,1,-0.8437503593734695,-0.844045215912189,6,0.06764654226796513,0.027616585236688217
2018_us_china_tariffs,2,-0.7451048582777412,-0.7605654467030187,3,0.0475391137236889,0.02744672010540802
2019_amazon_forest_fires,0,-1.077743268096306,-1.0678268082748426,7,0.07576846565335695,0.02863778819138879
2019_amazon_forest_fires,1,-0.9750191302289002,-0.9467767207353771,6,0.07775363523745035,0.03174278866303989
2019_amazon_forest_fires,2,-0.9612367433942163,-0.8868521094482054,3,0.14796603984248194,0.08542823293397984
2019_amazon_forest_fires,3,-0.8646699476164112,-0.8276944744688538,3,0.06606809316470953,0.03814443137349032
2019_amazon_forest_fires,4,-0.7311090136594663,-0.7223942405215136,3,0.06719196597658468,0.038793299643961346
2019_amazon_forest_fires,5,-0.6889807963653181,-0.6835827477627386,3,0.02383869302914122,0.013763275837503539
2019_amazon_forest_fires,6,-0.6534743895171742,-0.6534743895171742,2,0.021101713947775307,0.014921165027130671
2019_brumadinho_dam_collapse,0,-1.1928926902937902,-1.102523436728696,4,0.25902776063276506,0.12951388031638253
2019_brumadinho_dam_collapse,1,-1.2086101254820858,-1.2086101254820858,2,0.25497753433654097,0.18029634357959387
