source_shock_node,shock_node,shock_year,shock_month,observation_key,months_after_shock,target_node,target_country,target_sector,icio_edge_value,supplier_hhi,shocked_supplier_share,icio_weight,shock_yoy_change,import_baseline,import_delta,shock_value,target_log_gdp_per_capita,target_gdp_growth,target_inflation,target_unemployment_rate,expected_yoy,pred_yoy_change,y_lag_12,y_expected,y_pred,y_observed,pred_prop_yoy_dev,pred_prop_yoy_dev_pp,pred_export_delta,shock_only_delta,model_features,hop,target_name
RUS_B06,RUS_B06,2022,12,2023-01,1,CHN_C19,CHN,C19,12338.7890625,0.169401104993411,0.02003506166047213,0.6851762749965956,-0.272,4678907444.0,-1272662824.7680001,-871998373.6011834,9.464085732812169,8.57008513166322,4.47386132078888,4.55,0.4612447108665529,0.345053678365584,3544654609.0,5179607799.249999,4767750720.370971,6053365563.0,-0.11619103250096893,-11.619103250096893,1223096111.3709707,-411857078.8790283,"{'shock_yoy_change': -0.272, 'shock_value': -871998373.6011834, 'shock_value_x_shocked_share': -17470541.182931125, 'shock_yoy_change_x_shocked_share': -0.00544953677164842, 'shock_value_x_diversification': -724280885.5606858, 'icio_edge_value': 12338.7890625, 'supplier_hhi': 0.169401104993411, 'shocked_supplier_share': 0.02003506166047213, 'months_after_shock': 1, 'shock_month': 12.0, 'target_log_gdp_per_capita': 9.464085732812169, 'target_gdp_growth': 8.57008513166322, 'target_inflation': 4.47386132078888, 'target_unemployment_rate': 4.55, 'target_country': 'CHN', 'target_sector': 'C19', 'target_node': 'CHN_C19', 'shock_country': 'RUS', 'shock_sector': 'B06', 'shock_node': 'RUS_B06', 'obs_month': '01', 'months_bucket': '1'}",0,China - Coke and refined petroleum products
RUS_B06,RUS_B06,2022,12,2023-01,1,ITA_C19,ITA,C19,3487.79296875,0.14244135861941593,0.08061375908294172,0.47091303079893276,-0.272,2592618197.6480002,-705192149.7602562,-332084172.5392171,10.514707027094456,8.93106210800055,1.28332187292641,9.497,0.8063204779948131,0.7871940768761799,1583122803.864,2859627139.8001094,2829347698.0333514,1785930759.6949997,-0.019126401118633153,-1.9126401118633154,1246224894.1693513,-30279441.766758066,"{'shock_yoy_change': -0.272, 'shock_value': -332084172.5392171, 'shock_value_x_shocked_share': -26770553.480334498, 'shock_yoy_change_x_shocked_share': -0.021926942470560148, 'shock_value_x_diversification': -284781651.8267265, 'icio_edge_value': 3487.79296875, 'supplier_hhi': 0.14244135861941593, 'shocked_supplier_share': 0.08061375908294172, 'months_after_shock': 1, 'shock_month': 12.0, 'target_log_gdp_per_capita': 10.514707027094456, 'target_gdp_growth': 8.93106210800055, 'target_inflation': 1.28332187292641, 'target_unemployment_rate': 9.497, 'target_country': 'ITA', 'target_sector': 'C19', 'target_node': 'ITA_C19', 'shock_country': 'RUS', 'shock_sector': 'B06', 'shock_node': 'RUS_B06', 'obs_month': '01', 'months_bucket': '1'}",0,Italy - Coke and refined petroleum products
RUS_B06,RUS_B06,2022,12,2023-01,1,DEU_C19,DEU,C19,4816.8369140625,0.04073941408517186,0.08080929389046161,0.6347195928444044,-0.272,1773715602.954,-482450644.003488,-306220876.3294146,10.865711915417387,3.90999994204108,2.69677840082888,3.594,0.2321560897775798,0.24885538539290344,2580038568.51,3179010234.0506263,3222095060.8051114,2552776309.862,0.016699295615323656,1.6699295615323657,642056492.2951112,43084826.75448497,"{'shock_yoy_change': -0.272, 'shock_value': -306220876.3294146, 'shock_value_x_shocked_share': -24745492.790698364, 'shock_yoy_change_x_shocked_share': -0.02198012793820556, 'shock_value_x_diversification': -293745617.2471064, 'icio_edge_value': 4816.8369140625, 'supplier_hhi': 0.04073941408517186, 'shocked_supplier_share': 0.08080929389046161, 'months_after_shock': 1, 'shock_month': 12.0, 'target_log_gdp_per_capita': 10.865711915417387, 'target_gdp_growth': 3.90999994204108, 'target_inflation': 2.69677840082888, 'target_unemployment_rate': 3.594, 'target_country': 'DEU', 'target_sector': 'C19', 'target_node': 'DEU_C19', 'shock_country': 'RUS', 'shock_sector': 'B06', 'shock_node': 'RUS_B06', 'obs_month': '01', 'months_bucket': '1'}",0,Germany - Coke and refined petroleum products
CHN_C19,CHN_C19,2022,12,2023-01,1,PHL_G,PHL,G,332.33099365234375,0.09690522816627858,0.008688052833198215,0.19585619954112152,-0.11619103250096893,67630778.0,-7858089.924663815,-1539055.6282970326,8.156334059911922,5.71473313185116,2.28247846258142,3.398,0.06440754508657118,-0.0394159284551638,6045941073.0,6435345295.25,5807634692.222495,5254214689.0,-0.10382347354173498,-10.382347354173497,-238306380.77750492,-627710603.0275043,"{'shock_yoy_change': -0.11619103250096893, 'shock_value': -1539055.6282970326, 'shock_value_x_shocked_share': -13371.396611875693, 'shock_yoy_change_x_shocked_share': -0.001009473829112269, 'shock_value_x_diversification': -1389913.0914763133, 'icio_edge_value': 332.33099365234375, 'supplier_hhi': 0.09690522816627858, 'shocked_supplier_share': 0.008688052833198215, 'months_after_shock': 1, 'shock_month': 12.0, 'target_log_gdp_per_capita': 8.156334059911922, 'target_gdp_growth': 5.71473313185116, 'target_inflation': 2.28247846258142, 'target_unemployment_rate': 3.398, 'target_country': 'PHL', 'target_sector': 'G', 'target_node': 'PHL_G', 'shock_country': 'CHN', 'shock_sector': 'C19', 'shock_node': 'CHN_C19', 'obs_month': '01', 'months_bucket': '1'}",1,Philippines - Wholesale and retail trade; repair of motor vehicles
CHN_C19,CHN_C19,2022,12,2023-01,1,VNM_C19,VNM,C19,356.002685546875,0.206279834457933,0.010926192448097179,0.4352809306688361,-0.11619103250096893,117277737.99900001,-13626621.46748193,-5931408.474237476,8.217490779011687,2.55372852648131,2.88076792900642,2.385,0.2910568844177151,0.20590285930050048,128293532.256,165634248.045375,154709537.37727138,134180971.488,-0.08515402511721462,-8.515402511721462,26416005.121271387,-10924710.668103607,"{'shock_yoy_change': -0.11619103250096893, 'shock_value': -5931408.474237476, 'shock_value_x_shocked_share': -64807.710477793116, 'shock_yoy_change_x_shocked_share': -0.0012695255818487006, 'shock_value_x_diversification': -4707878.516069388, 'icio_edge_value': 356.002685546875, 'supplier_hhi': 0.206279834457933, 'shocked_supplier_share': 0.010926192448097179, 'months_after_shock': 1, 'shock_month': 12.0, 'target_log_gdp_per_capita': 8.217490779011687, 'target_gdp_growth': 2.55372852648131, 'target_inflation': 2.88076792900642, 'target_unemployment_rate': 2.385, 'target_country': 'VNM', 'target_sector': 'C19', 'target_node': 'VNM_C19', 'shock_country': 'CHN', 'shock_sector': 'C19', 'shock_node': 'CHN_C19', 'obs_month': '01', 'months_bucket': '1'}",1,Vietnam - Coke and refined petroleum products
CHN_C19,CHN_C19,2022,12,2023-01,1,HKG_G,HKG,G,318.9565124511719,0.10055722400036952,0.0030236249521654332,0.6218753436084374,-0.11619103250096893,402859991.407,-46808718.354910806,-29109187.81083073,10.81519910068308,6.45444409087024,0.683603053456778,5.174,-0.13694805329949447,-0.18996717776657396,61178312544.442,52800061737.33263,49556441169.85297,39003828560.919,-0.05301912446707947,-5.301912446707948,-11621871374.589035,-3243620567.47966,"{'shock_yoy_change': -0.11619103250096893, 'shock_value': -29109187.81083073, 'shock_value_x_shocked_share': -88015.26660209768, 'shock_yoy_change_x_shocked_share': -0.00035131810508779446, 'shock_value_x_diversification': -26182048.6916682, 'icio_edge_value': 318.9565124511719, 'supplier_hhi': 0.10055722400036952, 'shocked_supplier_share': 0.0030236249521654332, 'months_after_shock': 1, 'shock_month': 12.0, 'target_log_gdp_per_capita': 10.81519910068308, 'target_gdp_growth': 6.45444409087024, 'target_inflation': 0.683603053456778, 'target_unemployment_rate': 5.174, 'target_country': 'HKG', 'target_sector': 'G', 'target_node': 'HKG_G', 'shock_country': 'CHN', 'shock_sector': 'C19', 'shock_node': 'CHN_C19', 'obs_month': '01', 'months_bucket': '1'}",1,Hong Kong - Wholesale and retail trade; repair of motor vehicles
CHN_C19,CHN_C19,2022,12,2023-01,1,SGP_H50,SGP,H50,1400.9554443359375,0.06522520484569254,0.026457205628152843,0.3979105527812173,-0.11619103250096893,287956751.319,-33457992.25137936,-13313288.191696046,11.290495769110379,9.7568044629903,10.9292875816122,4.64,0.13200095146697866,0.11862414919778907,40608393393.034,45968739958.459854,45425529509.57177,35773965876.662,-0.013376802269189586,-1.3376802269189585,4817136116.537773,-543210448.8880806,"{'shock_yoy_change': -0.11619103250096893, 'shock_value': -13313288.191696046, 'shock_value_x_shocked_share': -352232.4032745614, 'shock_yoy_change_x_shocked_share': -0.0030740900390255252, 'shock_value_x_diversification': -12444926.242222933, 'icio_edge_value': 1400.9554443359375, 'supplier_hhi': 0.06522520484569254, 'shocked_supplier_share': 0.026457205628152843, 'months_after_shock': 1, 'shock_month': 12.0, 'target_log_gdp_per_capita': 11.290495769110379, 'target_gdp_growth': 9.7568044629903, 'target_inflation': 10.9292875816122, 'target_unemployment_rate': 4.64, 'target_country': 'SGP', 'target_sector': 'H50', 'target_node': 'SGP_H50', 'shock_country': 'CHN', 'shock_sector': 'C19', 'shock_node': 'CHN_C19', 'obs_month': '01', 'months_bucket': '1'}",1,Singapore - Water transport
ITA_C19,ITA_C19,2022,12,2023-01,1,HRV_D,HRV,D,58.04840087890625,0.09410101528684019,0.028174428519689522,0.5593322960240477,-0.019126401118633153,101444447.0,-1940267.1845799217,-1085254.0992512023,9.78637978405424,12.6322190351024,2.08029569689035,7.608,1.1293746619415301,1.037164304950191,64692631.0,137754849.26573315,131789518.66651419,82254943.0,-0.09221035699133916,-9.221035699133916,67096887.66651419,-5965330.599218974,"{'shock_yoy_change': -0.019126401118633153, 'shock_value': -1085254.0992512023, 'shock_value_x_shocked_share': -30576.414045053036, 'shock_yoy_change_x_shocked_share': -0.0005388754211558394, 'shock_value_x_diversification': -983130.5866674589, 'icio_edge_value': 58.04840087890625, 'supplier_hhi': 0.09410101528684019, 'shocked_supplier_share': 0.028174428519689522, 'months_after_shock': 1, 'shock_month': 12.0, 'target_log_gdp_per_capita': 9.78637978405424, 'target_gdp_growth': 12.6322190351024, 'target_inflation': 2.08029569689035, 'target_unemployment_rate': 7.608, 'target_country': 'HRV', 'target_sector': 'D', 'target_node': 'HRV_D', 'shock_country': 'ITA', 'shock_sector': 'C19', 'shock_node': 'ITA_C19', 'obs_month': '01', 'months_bucket': '1'}",1,"Croatia - Electricity, gas, steam and air conditioning supply"
ITA_C19,ITA_C19,2022,12,2023-01,1,ESP_H49,ESP,H49,68.83560180664062,0.08572319457290069,0.002121172812506437,0.21339978638345627,-0.019126401118633153,196938909.94399998,-3766732.587455315,-803819.9295265678,10.335285475132922,6.68314420473001,2.55611236501613,14.781,0.087083197468658,0.004280345844666536,31051095761.891,33755124465.741962,31184005190.60775,34173205542.42,-0.08280285162399147,-8.280285162399146,132909428.7167511,-2571119275.1342106,"{'shock_yoy_change': -0.019126401118633153, 'shock_value': -803819.9295265678, 'shock_value_x_shocked_share': -1705.0409806625958, 'shock_yoy_change_x_shocked_share': -4.057040205393734e-05, 'shock_value_x_diversification': -734913.9173061865, 'icio_edge_value': 68.83560180664062, 'supplier_hhi': 0.08572319457290069, 'shocked_supplier_share': 0.002121172812506437, 'months_after_shock': 1, 'shock_month': 12.0, 'target_log_gdp_per_capita': 10.335285475132922, 'target_gdp_growth': 6.68314420473001, 'target_inflation': 2.55611236501613, 'target_unemployment_rate': 14.781, 'target_country': 'ESP', 'target_sector': 'H49', 'target_node': 'ESP_H49', 'shock_country': 'ITA', 'shock_sector': 'C19', 'shock_node': 'ITA_C19', 'obs_month': '01', 'months_bucket': '1'}",1,Spain - Land transport and transport via pipelines
ITA_C19,ITA_C19,2022,12,2023-01,1,TUR_H49,TUR,H49,63.67150115966797,0.2796314485088369,0.0015052699333787528,0.33387448834337385,-0.019126401118633153,7038153.0,-134614.53741231127,-44944.35980211538,9.208615283277265,11.811094450607,29.3058995155618,11.969,0.12822012116003312,0.055360875901226125,17553745067.0,19804488386.303074,18525535769.255947,19331708505.0,-0.07285924525880699,-7.2859245258806995,971790702.2559471,-1278952617.0471263,"{'shock_yoy_change': -0.019126401118633153, 'shock_value': -44944.35980211538, 'shock_value_x_shocked_share': -67.65339348508091, 'shock_yoy_change_x_shocked_share': -2.8790396537620228e-05, 'shock_value_x_diversification': -32376.503368347516, 'icio_edge_value': 63.67150115966797, 'supplier_hhi': 0.2796314485088369, 'shocked_supplier_share': 0.0015052699333787528, 'months_after_shock': 1, 'shock_month': 12.0, 'target_log_gdp_per_capita': 9.208615283277265, 'target_gdp_growth': 11.811094450607, 'target_inflation': 29.3058995155618, 'target_unemployment_rate': 11.969, 'target_country': 'TUR', 'target_sector': 'H49', 'target_node': 'TUR_H49', 'shock_country': 'ITA', 'shock_sector': 'C19', 'shock_node': 'ITA_C19', 'obs_month': '01', 'months_bucket': '1'}",1,Turkey - Land transport and transport via pipelines
